iter	Passed	Remaining
247	362	1097
248	362	1094
249	363	1090
250	364	1087
251	365	1084
252	366	1080
253	366	1077
254	367	1074
255	368	1071
256	369	1068
257	370	1066
258	371	1064
259	373	1061
260	373	1058
261	375	1056
262	376	1053
263	376	1050
264	377	1047
265	378	1044
266	379	1042
267	380	1039
268	381	1036
269	382	1034
270	383	1031
271	384	1029
272	385	1026
273	386	1023
274	387	1021
275	388	1018
276	389	1015
277	390	1013
278	391	1010
279	392	1008
280	393	1005
281	393	1002
282	394	999
283	395	996
284	396	993
285	396	990
286	397	988
287	398	985
288	399	983
289	400	981
290	401	978
291	402	976
292	403	973
293	404	971
294	405	968
295	405	965
296	406	962
297	407	960
298	408	957
299	409	954
300	410	952
301	410	949
302	411	946
303	412	944
304	413	942
305	414	940
306	415	938
307	416	936
308	417	934
309	418	931
310	419	929
311	420	926
312	421	924
313	421	921
314	422	919
315	423	916
316	424	914
317	425	911
318	425	909
319	426	906
320	427	904
321	428	902
322	429	901
323	430	899
324	432	897
325	433	895
326	434	893
327	435	891
328	436	889
329	437	887
330	438	885
331	439	883
332	440	881
333	441	879
334	442	877
335	443	876
336	444	875
337	445	873
338	446	871
339	447	869
340	448	867
341	449	865
342	450	863
343	451	861
344	452	859
345	453	857
346	454	855
347	455	853
348	456	851
349	457	850
350	458	848
351	460	846
352	461	844
353	461	842
354	462	841
355	464	839
356	465	838
357	466	836
358	467	834
359	468	833
360	469	831
361	470	829
362	471	827
363	473	826
364	474	825
365	475	823
366	476	821
367	477	819
368	478	818
369	479	816
370	480	814
371	481	813
372	482	811
373	483	809
374	484	807
375	485	805
376	486	803
377	487	802
378	488	800
379	489	798
380	490	796
381	491	795
382	492	793
383	493	791
384	494	789
385	495	788
386	496	786
387	497	785
388	499	784
389	500	782
390	501	781
391	502	779
392	504	778
393	505	776
394	506	775
395	507	773
396	508	771
397	509	770
398	510	768
399	511	767
400	512	765
401	513	763
402	514	762
403	515	760
404	516	758
405	517	757
406	518	755
407	519	753
408	520	752
409	521	750
410	522	749
411	523	747
412	524	745
413	525	744
414	526	742
415	527	740
416	528	738
417	529	736
418	530	735
419	531	734
420	532	732
421	533	730
422	534	729
423	535	727
424	536	725
425	537	723
426	538	722
427	539	720
428	540	719
429	541	718
430	543	717
431	544	715
432	545	713
433	546	712
434	547	710
435	548	709
436	549	707
437	550	705
438	551	704
439	552	702
440	553	701
441	554	699
442	555	697
443	556	696
444	557	694
445	558	693
446	558	691
447	559	689
448	560	688
449	561	686
450	562	685
451	563	683
452	565	682
453	566	681
454	567	679
455	568	678
456	569	676
457	570	675
458	571	673
459	572	671
460	573	670
461	574	668
462	574	666
463	576	665
464	577	664
465	578	662
466	579	661
467	581	660
468	582	659
469	583	657
470	583	655
471	584	654
472	585	652
473	586	650
474	587	649
475	588	647
476	589	646
477	590	645
478	591	643
479	592	642
480	594	641
481	595	639
482	596	638
483	597	636
